iter	Passed	Remaining
0	7	2918
1	9	1919
2	11	1581
3	13	1377
4	16	1267
5	18	1203
6	20	1150
7	22	1114
8	24	1083
9	27	1058
10	29	1039
11	31	1018
12	33	996
13	35	981
14	37	968
15	40	962
16	42	957
17	44	950
18	47	943
19	49	936
20	51	928
21	53	918
22	55	913
23	57	908
24	60	900
25	62	894
26	64	887
27	66	883
28	68	877
29	70	872
30	72	867
31	75	863
32	77	858
33	79	857
34	82	859
35	84	857
36	87	853
37	89	849
38	91	845
39	93	842
40	96	841
41	98	837
42	100	831
43	102	826
44	104	821
45	106	817
46	108	814
47	110	809
48	112	806
49	114	803
50	116	799
51	118	795
52	120	791
53	123	789
54	125	785
55	127	781
56	129	778
57	131	774
58	133	771
59	135	767
60	137	763
61	139	761
62	141	757
63	143	753
64	146	752
65	148	750
66	150	748
67	152	746
68	155	744
69	157	741
70	159	738
71	161	736
72	163	733
73	166	733
74	168	730
75	170	728
76	173	726
77	175	723
78	177	720
79	179	717
80	181	714
81	183	711
82	185	709
83	188	709
84	190	706
85	192	703
86	194	700
87	197	698
88	198	695
89	200	692
90	202	689
91	205	686
92	207	685
93	209	683
94	212	681
95	214	678
96	216	675
97	218	672
98	220	669
99	222	667
100	224	664
101	226	662
102	228	659
103	230	657
104	232	654
105	235	651
106	237	649
107	239	647
108	241	644
109	243	642
110	245	639
111	247	636
112	249	634
113	251	631
114	254	629
115	256	626
116	258	625
117	260	622
118	262	620
119	265	618
120	267	616
121	269	614
122	271	611
123	273	609
124	275	607
125	278	604
126	280	602
127	282	601
128	284	598
129	286	595
130	288	593
131	291	591
132	293	588
133	295	586
134	297	584
135	300	582
136	301	579
137	304	577
138	306	575
139	309	573
140	311	571
141	313	568
142	315	566
143	317	563
144	319	561
145	321	560
146	324	557
147	326	555
148	328	553
149	331	552
150	334	551
151	336	549
152	338	547
153	340	544
154	343	542
155	345	539
156	347	537
157	349	535
158	351	533
159	354	531
160	356	528
161	358	526
162	360	524
163	362	521
164	364	519
165	366	517
166	369	515
167	371	512
168	373	510
169	375	508
170	378	506
171	381	505
172	383	502
173	385	500
174	387	498
175	389	496
176	391	493
177	394	491
178	396	489
179	398	486
180	400	484
181	403	482
182	405	480
183	407	478
184	409	476
185	411	473
186	413	471
187	416	469
188	418	466
189	420	464
190	422	461
191	424	459
192	426	457
193	428	455
194	430	452
195	432	450
196	434	447
197	436	445
198	439	443
199	440	440
200	443	438
201	445	436
202	447	434
203	449	431
204	451	429
205	454	427
206	456	425
207	458	423
208	461	421
209	463	419
210	465	416
211	467	414
212	470	412
213	472	410
214	474	408
215	476	406
216	478	403
217	480	401
218	483	399
219	485	397
220	487	394
221	489	392
222	491	390
223	494	388
224	496	385
225	498	383
226	500	381
227	502	379
228	505	377
229	507	375
230	509	372
231	511	370
232	514	368
233	516	366
234	518	364
235	520	361
236	523	359
237	525	357
238	527	355
239	529	353
240	531	350
241	534	348
242	536	346
243	538	344
244	540	342
245	542	339
246	545	337
247	547	335
248	550	333
249	552	331
250	554	329
251	556	327
252	558	324
253	561	322
254	563	320
255	565	318
256	567	315
257	569	313
258	572	311
259	574	309
260	576	307
261	579	305
262	581	303
263	583	300
264	586	298
265	588	296
266	590	294
267	592	292
268	594	289
269	597	287
270	599	285
271	601	283
272	603	280
273	605	278
274	607	276
275	609	273
276	611	271
277	613	269
278	616	267
279	618	264
280	620	262
281	622	260
282	624	258
283	626	256
284	628	253
285	631	251
286	633	249
287	635	247
288	638	245
289	640	242
290	642	240
291	644	238
292	646	236
293	649	234
294	651	231
295	653	229
296	655	227
297	657	225
298	659	222
299	661	220
300	664	218
301	666	216
302	668	214
303	670	211
304	672	209
305	674	207
306	677	205
307	679	202
308	681	200
309	683	198
310	685	196
311	688	194
312	690	191
313	693	189
314	696	187
315	698	185
316	701	183
317	703	181
318	705	179
319	708	177
320	710	174
321	713	172
322	715	170
323	718	168
324	721	166
325	723	164
326	726	162
327	728	159
328	731	157
329	733	155
330	737	153
331	739	151
332	742	149
333	745	147
334	747	145
335	750	142
336	752	140
337	755	138
338	757	136
339	760	134
340	763	132
341	765	129
342	767	127
343	770	125
344	772	123
345	775	120
346	777	118
347	780	116
348	782	114
349	785	112
350	787	109
351	790	107
352	792	105
353	795	103
354	799	101
355	802	99
356	805	96
357	807	94
358	810	92
359	812	90
360	814	87
361	816	85
362	819	83
363	821	81
364	823	79
365	826	76
366	828	74
367	830	72
368	832	69
369	834	67
370	837	65
371	839	63
372	841	60
373	843	58
374	845	56
375	847	54
376	849	51
377	852	49
378	854	47
379	856	45
380	858	42
381	862	40
382	864	38
383	866	36
384	868	33
385	870	31
386	872	29
387	874	27
388	876	24
389	879	22
390	881	20
391	883	18
392	885	15
393	887	13
394	889	11
395	892	9
396	894	6
397	896	4
398	898	2
399	900	0
